"tmp_bme_id";"Name";"Category_bme_1";"Category_bme_2";"Category_bme_3";"Description";"Category_timing_1"
8;"Sidewalks/Plazas";"Investment component";"Tangible asset";"Land";"A majority of cities locate bike-share stations on side-walks and plazas outside transit and commercial hubs, and public spaces such as parks, highstreets, tourist attractions, and so on that have high foot traffic. Station locations are decided through a rigorous analysis during the scoping and planning phase. Several cities undertake intensive public engagement to determine the optimum locations for stations in various urban neighborhoods.";"Unknown/not applicable"
9;"On-street Parking Space";"Investment component";"Tangible asset";"Land";"Numerous cities tend to place bike-share stations in car parking spaces. Depending on station capacity and size, two or more parking spaces are integrated into a bike-share station. Systems such as Velib and Bicing have converted over a thousand on-street parking spaces into docking stations for their bike-share systems. Cities either grant the bike-share operator rights to use the parking spaces for stations, or lease out the space for a fee.";"Unknown/not applicable"
10;"Space between landscaped areas or adjacent to other infrastructure";"Investment component";"Tangible asset";"Land";"Bike-share stations can be placed in the space between landscaped areas such as trees, lawn, etc. They can also be placed next to other urban infrastructure such as pedestrian bridges, or utility installations without impeding pedestrian flow .";"Unknown/not applicable"
11;"Private Property";"Investment component";"Tangible asset";"Land";"Private property owners such as universities, large corporations, housing developments, and so on provide space in their premises for bike-share stations so that their premises becomes a destination, and students, employees, or residents can benefit from access to bike-share.";"Unknown/not applicable"
12;"Transit hubs/corridors";"Investment component";"Tangible asset";"Land";"Stations of bike sharing systems implemented in collaboration with cities’ mass transit agencies are located at transit stops, hubs, and Mass Rapid Transit (MRT) or Bus Rapid Transit (BRT) corridors.";"Unknown/not applicable"
13;"Power Supply";"Investment component";"Tangible asset";"Infrastructure";"Automated bike-share systems need power supply to power the central totem/kiosk. Power is supplied via underground electric cables in trenches for fixed stations, or using solar panels for modular stations.";"Unknown/not applicable"
14;"Dedicated Bicycle Lanes";"Investment component";"Tangible asset";"Infrastructure";"Several cities invest in developing bicycle infrastructure that enhances safety of bicyclists on urban roads, and encourages more people to ride bicycles, to complement a bike-share system. Dedicated bicycle lanes are one such investment. These could be exclusive bicycling lanes designated by a white strip, bicycle symbols, or paint, to differentiate them from vehicular lanes. They could also be designated through a slight grade separation, physical barriers separating them from the motorized traffic, or a strip of landscaping. Bicycle lanes can also be in the form of urban trails running through parks, landscaped areas, and natural areas. Cities across the world are actively engaged in creating a network of dedicated bicycle lanes, comprising of urban lanes and bicycle trails through targeted initiatives such as Bicycle Master Plans.";"Unknown/not applicable"
15;"Maintenance and Storage Facilities";"Investment component";"Tangible asset";"Infrastructure";"These are structures such as warehouses for assembling bikes, and storing bicycles, and other equipment. This space is also used to repair damaged bikes and for regular upkeep and maintenance of bikes in use.";"Unknown/not applicable"
16;"Premises for Control Center and Administrative Facilities";"Investment component";"Tangible asset";"Infrastructure";"Premises are required for administrative offices, central control and data processing, and a call-centre.";"Unknown/not applicable"
17;"Bicycles";"Investment component";"Tangible asset";"Special equipment";"The bicycles are one of the primary components of a bike-share system, and have to be designed carefully to promote a modern image, as well as to be able to withstand heavy use and exposure to all possible weather conditions. 
Bikes have a step-through frame to ensure that they are compatible with most user groups, and clothing types. Sturdy, puncture-resistant tires are commonly used, and most bikes have front and rear drum brakes preferably with internal wires, and chain guards making them easy to maintain. Bicycles for bike-share systems are designed to be heavier than standard bikes to make them sturdier, and deter theft. They are also built out of unique parts that can only be opened with proprietary tools. Seat posts are designed to be easily adjustable to enable users to adjust seat height quickly, and most bikes come with three-speed internal hub gears, which are especially useful in cities with an uneven terrain. Bike lights are mandatory in most cities at night, so bikes are designed with front and rear LED lights usually powered by a hub dynamo. Reflectors are provided on wheels, pedals, etc. to improve visibility in the dark. The frame is also usually a bright color and reflective to provide good visibility to motorists in all conditions. Bicycles usually have baskets with straps in the front or rear to enable riders to secure their small personal belongings like handbags, backpacks, etc., and front and rear mudguards to protect clothing from dirt and mud splashes. The baskets and mudguards should ideally have a provision for the installation of advertisements, which enables a program to obtain revenue through private sponsorships.
Bicycles in 3rd and 4th Generation systems have an automated docking mechanism which enables users to check out and return bikes to automated docks using cards or special codes sent to their smartphones. This mechanism comes with a GPS, and RFID tag, which carries the bike’s unique identification number, and is read when the cycle is docked at a station. This helps operators maintain real-time data on bike availability at stations, as well as trip lengths, origins, and destinations. Several systems integrate technology that enables users to track their heart-rate, calories burned, etc. while riding the bike.";"Unknown/not applicable"
18;"Docking Stations";"Investment component";"Tangible asset";"Special equipment";"Docking stations are spaces used to park bicycles in a bike-share system, and their size is determined by capacity and demand at the location of the terminal. Stations are manually operated in 2nd generation systems, where users are registered, and bikes are checked out by attendants. These stations usually comprise of a shed to lock up the bikes. 3rd and 4th Generation systems have automated docks, which enable users to check out and return bikes directly from the docking points. Automated docking stations need to have access to power and the internet depending on the technology used. Stations can either be fixed (individual docks are fixed to the ground) or modular (a base plate with docks is screwed to the ground).
Automated docking stations have a modern image, and are designed to integrate well with the urban environment.";"Unknown/not applicable"
19;"Totems/Kiosks";"Investment component";"Tangible asset";"Special equipment";"3rd and 4th Generation (automated) bike-share docking stations have a kiosk at one end, which is essentially a totem with an interactive screen, a keypad, and mechanism to swipe credit/membership cards. Some 4th Generation systems are ding away with kiosks entirely to save costs and placing the unlocking mechanism in bicycles. Kiosks enable users to register for using the system with a credit card, and/or check out bikes using membership cards or keys. In some systems, kiosks are used to generate codes that can then be entered into individual docks to release bikes. Kiosks display information for using the system and integrate a system map (sometimes an electronic, real-time map). Some kiosks also integrate space for advertising and dispense keys or helmets. Kiosks in fixed systems are powered by underground electric cables in trenches, whereas those in modular systems have solar panels.";"Unknown/not applicable"
20;"Smart Cards/Key Fobs";"Investment component";"Tangible asset";"Special equipment";"Long-term subscribers (monthly, annual, etc.) in automated bike-share systems are issued smart cards or key fobs on registration, that enable them to check out bikes directly from the docking points, by-passing the kiosk and saving time in the process.";"Unknown/not applicable"
21;"Vehicles";"Investment component";"Tangible asset";"Special equipment";"Bike-share systems need maintenance vans to transport bicycles from docking stations to the warehouse for upkeep and repairs. Vehicles with specialized beds for holding bikes are deployed in many systems to rebalance bicycles in docking stations by collecting bikes from high-volume stations and bringing them to nearly-empty stations (usually during peak hours). Some cities use electric or natural gas powered vehicles to prevent emissions, whereas others like NYC deploy riders on bikes with trailers (bikes with modified design, also called cargo-bikes) to navigate day-time traffic congestions. Velib in Paris has deployed boats on the Seine to rebalance bikes across stations in the urban core.";"Unknown/not applicable"
22;"Billboards and Street Furniture";"Investment component";"Tangible asset";"Special equipment";"Investments in billboards, and street furniture such as benches, street lamps, bus shelters, tree guards, etc. enable the operator to sell advertising space on these assets and earn significant revenue to offset capital and operating expenses.";"Unknown/not applicable"
23;"Computing Systems and Servers";"Investment component";"Tangible asset";"Special equipment";"Bike-share systems integrate computer-based registration, payment, bicycle check-out and return mechanism, real-time data gathering, and customer-care. Hence, computing systems and servers are key components of such systems.";"Unknown/not applicable"
24;"Online Applications";"Investment component";"Tangible asset";"Special equipment";"Most bike-share systems have dedicated websites that enable users to register for short-term, and long-term memberships, provide instructions for using the system, and have information such as pricing, road-safety, station maps with bicycle availability in real-time, special offers and promotions, workshops and educational events, ridership data, press releases and news items,etc. Long-term users can create an online account to view personal usage statistics such as trips taken, distance covered, calories burned, etc.";"Unknown/not applicable"
