"name";"lat";"lng";"population";"iso3";"province"
"Qal eh-ye Now";34.98300013;63.13329964;2997;"AFG";"Badghis"
"Chaghcharan";34.5167011;65.25000063;15000;"AFG";"Ghor"
"Lashkar Gah";31.58299802;64.35999955;201546;"AFG";"Hilmand"
"Zaranj";31.11200108;61.88699752;49851;"AFG";"Nimroz"
"Tarin Kowt";32.63329815;65.86669865;10000;"AFG";"Uruzgan"
"Zareh Sharan";32.85000016;68.41670453;13737;"AFG";"Paktika"
"Asadabad";34.86600004;71.15000459;48400;"AFG";"Kunar"
"Taloqan";36.72999904;69.54000364;64256;"AFG";"Takhar"
"Mahmud-E Eraqi";35.01669608;69.33330065;7407;"AFG";"Kapisa"
"Mehtar Lam";34.65000001;70.16670052;17345;"AFG";"Laghman"
"Baraki Barak";33.9667021;68.96670354;22305;"AFG";"Logar"
"Aybak";36.26100015;68.04000051;24000;"AFG";"Samangan"
"Mayda Shahr";34.45000209;68.79999663;35008;"AFG";"Wardak"
"Karokh";34.48676963;62.59177608;14388.5;"AFG";"Hirat"
"Sheberghan";36.65798077;65.73830237;74441;"AFG";"Jawzjan"
"Pol-e Khomri";35.95107302;68.70111894;41029;"AFG";"Baghlan"
"Balkh";36.75011985;66.89973018;147426;"AFG";"Balkh"
"Meymaneh";35.93022158;64.77009273;199795;"AFG";"Faryab"
"Andkhvoy";36.93165916;65.10149369;50469;"AFG";"Faryab"
"Qalat";32.11226341;66.8867594;12191;"AFG";"Zabul"
"Ghazni";33.56331179;68.41782873;129892.5;"AFG";"Ghazni"
"Feyzabad";37.12976076;70.57924719;52490;"AFG";"Badakhshan"
"Kondoz";36.72795066;68.87252966;210855.5;"AFG";"Kunduz"
"Jalalabad";34.44152692;70.43610347;401697;"AFG";"Nangarhar"
"Charikar";35.01826174;69.16791215;53676;"AFG";"Parwan"
"Gardiz";33.60005373;69.21462764;82680.5;"AFG";"Paktya"
"Bamian";34.82106447;67.52103593;61863;"AFG";"Bamyan"
"Baghlan";36.13933026;68.69925858;163598.5;"AFG";"Baghlan"
"Farah";32.39172955;62.09681921;58604;"AFG";"Farah"
"Herat";34.33000917;62.16999304;439232.5;"AFG";"Hirat"
"Mazar-e Sharif";36.69999371;67.10002803;365432.5;"AFG";"Balkh"
"Kandahar";31.61002016;65.69494584;613871;"AFG";"Kandahar"
"Kabul";34.51669029;69.18326005;3160266;"AFG";"Kabul"
"Mariehamn";60.09699618;19.94900447;10682;"ALD";"Finström"
"Kruje";41.51899817;19.79700359;21286;"ALB";"Durrës"
"Fier";40.73000402;19.5730026;69747.5;"ALB";"Fier"
"Lushnje";40.94000113;19.71600348;41469;"ALB";"Fier"
"Puke";42.03330302;19.88330448;6495;"ALB";"Shkodër"
"Bajram Curri";42.33330007;20.08330257;7967;"ALB";"Kukës"
"Kukes";42.08300107;20.43399653;17832;"ALB";"Kukës"
"Sarande";39.87700212;19.99999859;15147;"ALB";"Vlorë"
"Erseke";40.33330213;20.68329651;7890;"ALB";"Korçë"
"Pogradec";40.89999612;20.66400062;35000;"ALB";"Korçë"
"Korce";40.61667601;20.76666353;58259;"ALB";"Korçë"
"Berat";40.70999705;19.97199958;46866;"ALB";"Berat"
"Corovode";40.51670403;20.23329663;14046;"ALB";"Berat"
"Gramsh";40.86669601;20.19999652;11556;"ALB";"Elbasan"
"Librazhd";41.20000211;20.3667036;12691;"ALB";"Elbasan"
"Tepelene";40.2832981;20.03329854;11955;"ALB";"Gjirokastër"
"Permet";40.23399605;20.35199756;10686;"ALB";"Gjirokastër"
"Gjirokaster";40.07899809;20.14900256;23437;"ALB";"Gjirokastër"
"Peshkopi";41.6833021;20.43330349;14848;"ALB";"Dibër"
"Burrel";41.62599908;20.01600053;15405;"ALB";"Dibër"
"Lezhe";41.78799914;19.65400254;18695;"ALB";"Lezhë"
"Rreshen";41.78330106;19.81670459;10064;"ALB";"Lezhë"
"Vlore";40.47736005;19.49823075;89508.5;"ALB";"Vlorë"
"Elbasan";41.12150677;20.08382808;132956.5;"ALB";"Elbasan"
"Durres";41.3177997;19.44820797;132233;"ALB";"Durrës"
"Shkoder";42.06845156;19.51884965;122006;"ALB";"Shkodër"
