"name";"category_0";"category_1";"category_ 2";"category_3"
"Up-to-date knowledge of available technology, equipment, and materials.";"Stakeholder/actor";"Human Resources & Organizational Capacity";"Skilled workforce";"Appropriately skilled agency & project staff"
"Precise estimates of requirements, and compliance standards.";"Project/investment";"Project Design";"Objectives& strategy";"Realistic objectives & targets"
"Availability of capital to offer a competitive price to the supplier.";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";"Control over budget in relevant area"
"Lack of compliance with local, state or national regulations and standards.";"Project/investment";"Project Design";"Objectives& strategy";"Simple project design"
"Lack of competition in the market for desired products.";"Context";"Markets & financial system";"Market Deterioration";"Price anomalies/distortions"
"Delays in product delivery due to supply chain problems.";"Context";"Physical & built environment";"Geographic Access & topography";"Proximity to major markets/distributors"
"Lack of capital to meet the agreed upon disbursement schedule.";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";"Control over budget in relevant area"
"Well-drafted document with clear specifications of the requirements and contract terms.";"Project/investment";"Implementation";"Procurement & contracts";"Well-structured contracts with clear specifications of the requirements and contract term"
"Transparent bidding and approvals process.";"Project/investment";"Implementation";"Procurement & contracts";"Efficient and transparent bidding process and procurement management systems"
"Too specific and stringent bidding requirements may limit and discourage bidders.";"Project/investment";"Implementation";"Procurement & contracts";"Efficient and transparent bidding process and procurement management systems"
"Public sector should have the ability to develop a project that is attractive for the private-sector to invest it and enables it to recover costs.";"Project/investment";"Project Design";"Risk perceptions";"Demand risk"
"The private sector should demonstrate the ability to build, operate, and maintain a public asset effectively.";"Stakeholder/actor";"Human Resources & Organizational Capacity";"Skilled workforce";"Appropriately skilled agency & project staff"
"If the operator fails to meet standards specified in the contract, the city may impose fines.";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";"Ability to set and enforce of policies/regulations"
"In case the system is unable to generate anticipated revenue, the city may be liable to pay the operator from its own budget to close the revenue gap.";"Project/investment";"Budgeting & financial management";"Revenue generation & collection";"Carefully designed pricing structure"
"Sometimes contracts are awarded to companies that aren’t suited for the works, affecting the system quality.";"Stakeholder/actor";"Human Resources & Organizational Capacity";"Skilled workforce";"Appropriately skilled agency & project staff"
"Public sector should have the ability to develop a project that enables the private-sector to recover costs.";"Project/investment";"Project Design";"Risk perceptions";"Demand risk"
"Local laws, regulations, and legal frameworks that permit advertisements on public assets.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Design of equipment and physical assets to accommodate advertising space.";"Project/investment";"Project Design";"Objectives& strategy";"Simple project design"
"Good reputation and high visibility can be a great draw for ads.";"Project/investment";"Project Design";"Risk perceptions";"Demand risk"
"Difficult to ascertain revenue generation potential, may lead to operator making greater profits that are not shared with the city.";"Project/investment";"Budgeting & financial management";"Revenue generation & collection";"Carefully designed pricing structure"
"Having advertising billboards with good visibility.";"Project/investment";"Project Design";"Objectives& strategy";"Simple project design"
"Having street furniture designed to integrate advertising space.";"Project/investment";"Project Design";"Objectives& strategy";"Simple project design"
"Careful allocation of advertising space to adequately compensate the operator.";"Project/investment";"Budgeting & financial management";"Revenue generation & collection";"Carefully designed pricing structure"
"The advertising rate per square meter differs from one city to another, requiring cities with lower advertisement rates to provide additional incentives to the operator.";"Context";"Business environment & politics";"Private Sector development";
"Cities with high advertising rates need to have proper revenue-sharing arrangements in place to ensure that the operator is not over-compensated.";"Project/investment";"Budgeting & financial management";"Revenue generation & collection";"Carefully designed pricing structure"
"The bike-share and advertising contracts if bundled together, can lead to revenue-sharing challenges. Hence, it is ideal to have two separate contracts.";"Project/investment";"Implementation";"Procurement & contracts";"Well-structured contracts with clear specifications of the requirements and contract term"
"Project image, social and environmental benefits are a major draw for sponsors.";"Project/investment";"Project Design";"Risk perceptions";"Demand risk"
"Can be structured to target specific investment components, to attract all kinds of sponsors.";"Project/investment";"Project Design";"Risk perceptions";"Demand risk"
"Opportunity for sponsors to associate their brand with a sustainable, environmentally-friendly social benefit and enhance brand visibility.";"Project/investment";"Project Design";"Risk perceptions";"Demand risk"
"Systems in bigger cities are more likely to attract large sponsors compared to those in smaller cities.";"Context";"Physical & built environment";"Land  & urban form";"Existing urban form & lay out"
"Sponsors may not renew their contracts after the agreement term ends, requiring the operator to procure other sponsors.";"Stakeholder/actor";"Powers & leadership";"Ability to set priorities & vision";"Stability in leadership & organizational priorities"
"If the sponsoring entity acquires a bad reputation or gets embroiled in a controversy, it may affect the image of the bike-share system.";"Stakeholder/actor";"Powers & leadership";"Ownership & operations of assets";
"Efficient coordination between different levels of government and implementing agencies.";"Stakeholder/actor";"Coordination & Engagement";"Stakeholder Engagement & consensus";"Effective mechanisms for engaging key stakeholders and enabling collective action"
"Technical and administrative capacity to plan and implement projects.";"Stakeholder/actor";"Human Resources & Organizational Capacity";"Skilled workforce";"Appropriately skilled agency & project staff"
"Capacity to fund or mobilize funding.";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";"Control over budget in relevant area"
"Change in organizational priorities or commitments.";"Stakeholder/actor";"Powers & leadership";"Ability to set priorities & vision";"Stability in leadership & organizational priorities"
"Change in leadership.";"Context";"Business environment & politics";;
"Lack of enabling institutional frameworks.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Lack of appropriately trained staff.";"Stakeholder/actor";"Human Resources & Organizational Capacity";"Skilled workforce";"Appropriately skilled agency & project staff"
"Inefficient financial management.";"Project/investment";"Budgeting & financial management";"Budget allocation";"Supportive budget processes and management, including disbursement, financial control, and financial reporting"
"Technical expertise and efficiency of the private sector is a major advantage while structuring business models.";"Stakeholder/actor";"Human Resources & Organizational Capacity";"Skilled workforce";"Appropriately skilled agency & project staff"
"Privately operated models also tend to inspire investor confidence.";"Stakeholder/actor";"Powers & leadership";"Ownership & operations of assets";"Ownership and/or operation of assets"
"Structuring business models to generate profits is challenging.";"Project/investment";"Project Design";"Objectives& strategy";"Realistic objectives & targets"
