"tmp_impact_id";"category_1";"category_2";"impact_unit";"impact_value";"study_case_name";"source_name"
5;"Other";"Trips taken";;"149,000";"Ddareungi";"Expanded Operation of Seoul Bike “Ddareungi”"
6;"Other";"Registered Users (total)";"No. of users";"3,800";"Ddareungi";"Expanded Operation of Seoul Bike “Ddareungi”"
7;"Other";"Registered Users (total)";"No. of users";"34,900";"Guangzhou Public Bike Share";"Bike Sharing: Guangzhou"
8;"Other";"Trips taken";"Daily trips";"20,000";"Guangzhou Public Bike Share";"Bike Sharing: Guangzhou"
9;"Other";;;"-	The integrated BRT system won ITDP’s Sustainable Transport Award in 2011.";"Guangzhou Public Bike Share";
10;"Other";"Trips taken";"Daily trips";"240,000 trips with a peak of 320,000";"Hangzhou Public Bicycle";"The Biggest, Baddest Bike-Share in the World: Hangzhou China"
11;"Other";"Trips taken";;"Over 69 million";"You Bike";"City of Hangzhou: Homepage"
12;"Other";"Registered Users (total)";"No. of users";"Over 6 million";"You Bike";"You Bike: Homepage"
13;"Other";"Trips taken";"Daily trips per bike";"12";"You Bike";"Two wheels make a comeback in Taiwan"
14;"Economic";;;"-	The growing demand for bicycles has also benefited Taiwan’s bicycle manufacturing industry, which is number one in the world in terms of the number of bicycles manufactured and exported globally.";"You Bike";"Two wheels make a comeback in Taiwan"
15;"Other";"Trips taken";"Monthly trips";"1,277,419";"Bicing";"Bicing: System Information"
16;"Other";"Registered Users (total)";"No. of users";"97,528";"Bicing";"Bicing: System Information"
17;"Other";"Trips taken";"Daily trips per bike";"6.9";"Bicing";"Bicing: System Information"
18;"Other";"Trips taken";;"Over 26 million";"Santander Cycles (Previously Barclays Cycle Hire)";
19;"Other";;;"The debut of the bike-share system was enthusiastically received by Londoners, with over 90,000 users registering and taking more than a million rides in the first ten weeks of operation.";"Santander Cycles (Previously Barclays Cycle Hire)";
20;;;;"The scheme has won several awards for design, and operation.";"Santander Cycles (Previously Barclays Cycle Hire)";
21;"Other";"Trips taken";;"200 million";"Velib";"Parisian Vélib’ achieves over 200 million rentals"
22;"Other";"Trips taken";"Daily trips";"100,000 to 150,000";"Velib";"Parisian Vélib’ achieves over 200 million rentals"
23;"Other";"Registered users (long-term)";"No. of users";"267,000";"Velib";"Parisian Vélib’ achieves over 200 million rentals"
24;"Other";"Trips taken";"Daily trips per bike";"267,000_x000d_
5";"Velib";"Parisian Vélib’ achieves over 200 million rentals"
25;"Other";"Registered Users (total)";"No. of users";"400,000";"Velobike (Velobayk)";"Moscow to launch e-bicycle rental in August"
26;"Other";"Trips taken";"Daily trips";"12,000";"Velobike (Velobayk)";"Moscow to launch e-bicycle rental in August"
27;"Other";"Distance travelled";"Km";"609,418";"Velobike (Velobayk)";"Moscow, Russia"
