"source_type";"author";"publication_year";"name";"institution";"web_url"
"Industry Peer Review";"ITDP";"2014";"The Bike-Share Planning Guide";"Institute for Transportation & Development Policy (ITDP)";"https://www.itdp.org/wp-content/uploads/2014/07/ITDP_Bike_Share_Planning_Guide.pdf"
"Website";"Request for Proposal-RFP";"NA";"Request for Proposal-RFP";"Investopedia";"http://www.investopedia.com/terms/r/request-for-proposal.asp"
"Website";"USDOT";"NA";"Statewide Pedestrian and Bicycle Planning Handbook";"USDOT Federal Highway Administration";"https://www.fhwa.dot.gov/planning/processes/pedestrian_bicycle/pedestrian_bicycle_handbook/page09.cfm"
"Online News Article";"Unknown";"2016";"Expanded Operation of Seoul Bike “Ddareungi”";"Seoul Metropolitan Government";"http://english.seoul.go.kr/expanded-operation-seoul-bike-ddareungi/"
"Website";"Seoul Bike";"NA";"Seoul Bike-How to Use";"Seoul Bike";"https://www.bikeseoul.com:447/app/use/moveUseOptional.do?lang=en"
"Website";"Seoul Metropolitan Government";"NA";"Seoul Metropolitan GGovernment Ordinance to Promote Use of Bicycles";"Seoul Metropolitan Government";"https://legal.seoul.go.kr/legal/english/front/page/law.html?pAct=lawView&pPromNo=969"
"Report";"Hee Cheol Shin et al";"2016";"Bicycle Transport Policy in Korea";"The Korea Transport Institute (KOTI) Knowledge Sharing Report: Korea's Best Practices in the Transport Sector
Issue 6";"http://www.biciudad.org/uploads/1/1/9/3/11936477/koti____ksp_06.pdf"
"Website";"Seoul Bike";"NA";"Introduction to Seoul Bike";"Seoul Bike";"https://www.bikeseoul.com:447/info/infoResume.do?lang=en"
"Website";"ITDP";"NA";"Bike Sharing: Guangzhou";"Institute for Transportation & Development Policy (ITDP)";"http://www.publicbike.net/en/c/city.aspx?c=Guangzhou"
"Website";"Guangzhou Public Bicycle";"NA";"Guangzhou Public Bicycle";"Guangzhou Public Bicycle";"http://zxc.gzzc.com.cn/Default.aspx"
