"tmp_study_case_id";"name";"city";"iso";"situation";"solution";"operational_year";"category_1";"category_2";"category_3"
4;"Ddareungi";"Seoul";"KOR";"The Seoul Metropolitan Government was seeking to resolve issues arising from traffic congestion, air pollution, and high oil prices in the city. Seoul Mayor Park Won-soon pushed for bicycle-sharing as a sustainable alternative to reduce carbon emissions, achieve the national vision of “Low Carbon, Green Growth”, and to build a healthier city and enhance the quality of life of its citizens.";"In October 2016, the city introduced Ddareungi, a public bicycle-scheme in some areas on the right bank of the Han River. The first phase comprised of 1,500 bikes and 150 stations in five city districts chosen on the basis of strategic locations, and tourism interests. In early 2016, around 3,500 more bikes and 300 stations were added. The Mayor has plans to increase the size of the system to 20,000 bicycles.";2015;"Mobility";"Bike sharing systems";"District-level Bike-Share Systems"
5;"Guangzhou Public Bike Share";"Guangzhou";"CHN";"Rising motorization in Guangzhou had led to deterioration of the overall urban environment in the city. In a major step towards reducing GHG emissions, and traffic congestion to free up urban space for the people, the city planned to implement a large-scale public transportation system.";"In 2010, Guangzhou implemented a Bus Rapid-Transit (BRT) system, which promoted multi-modal transportation by integrating public bike-share with BRT. The Guangzhou bike-share comprised of 5000 bicycles across 113 stations along the BRT corridor with plans for subsequent expansion. This system is a part of the city-wide bicycle sharing scheme.";2010;"Mobility";"Bike sharing systems";"City-wide Bike-Share Systems"
6;"Hangzhou Public Bicycle";"Hangzhou";"CHN";"Poor air quality, and traffic congestion were a major issue in Hangzhou due to increasing automobile usage. While the percentage of people using bicycles was quite high in the city in the 1970s, bike usage had declined considerably in recent years owing to advent of the automobile culture. The city government sought to implement measures to encourage people to ride bikes in the city, and return to a low-carbon lifestyle, which included a bike-share system. Subsequently, the system underwent numerous phases of expansion, to become the largest bike-share program in the world.";"In 2004, the Hangzhou municipal government adopted the Public Transit Priority for transportation funding, to encourage citizens to use public transit, and discourage automobile use. As a part of this initiative, the city implemented two BRT lines and in 2008 implemented a public bike-share system to encourage bicycle use. Bike-share was envisaged as feeder system into the bus routes and other public transit modes, to provide last-mile connectivity to public transit users. Upon its launch, the system comprised of 2,800 bicycles across 30 fixed stations, and 31 mobile stations. The city plans to further expand the system to 175,000 bicycles.";2008;"Mobility";"Bike sharing systems";"City-wide Bike-Share Systems"
7;"You Bike";"Taipei";"TWN";"In 2008, as a response to worsening global warming and the energy crisis, the Taipei City Government initiated a pilot bike-share program consisting of 500 bikes across 11 stations to promote biking as an energy efficient, low-emission green transit mode. This pilot program was not very successful, and had a limited number of users.";"In 2011, the Taipei Department of Transportation decided to expand the coverage of the scheme to other districts and along the city’s metro corridors  to improve traffic congestion, reduce environmental pollution, address the ‘last mile’ of transit issue, and enhance convenience, with a broader aim of transforming Taipei into a low carbon, healthy, and environmentally friendly city. By 2014, the system had expanded to 163 stations with over 5000 bikes. The kinks in the initial pilot were ironed out by changing the business model. The new program enables users to register via various avenues, and use the city’s public transit card to check out bikes. The pricing structure was also adjusted, making first 30-minutes free of charge, to increase number of users.";2011;"Mobility";"Bike sharing systems";"Metropolitan Bike-Share Systems"
8;"Bicing";"Barcelona";"ESP";"The Barcelona City Council was working for several years to develop a sustainable, efficient, and safe means of public transport in the city for short-distance, everyday trips around the city.";"In 2007, Barcelona de Serveis Municipals (B:SM), a company formed by the Barcelona City Council in 2002 contracted Clear Channel Outdoor to implement Bicing, a sustainable public bike-share system that complements the city’s public transit system for short-distance trips in Barcelona.  Bicing, which originally had 1500 bikes and 100 docking station in central city areas, was quickly expanded to 6,000 bikes covering ten inner districts of the city due to tremendous user demand . Owing to limited capacity and substantial demand, the use of this system is restricted only to Barcelona residents to make daily short-distance trips. Tourists and visitors are unable to use this service as it can be accessed only with RFID cards mailed to local addresses on payment of annual membership fees.";2007;"Mobility";"Bike sharing systems";"City-wide Bike-Share Systems"
9;"Call-a-Bike";"Berlin";"DEU";"On average, Berliners make four out of ten journeys on foot or bike. The city government recognized the tremendous potential of non-motorized transport modes in planning for urban traffic in the city and developed independent strategies for pedestrians and bicycle riders in the city.";"Since 2002, Deutsche Bahn (DB), the German railway started a bike rent system named Call-a-Bike. Users could use their cellphones to request a bike, which would be parked in designated areas in the city. The bikes could be unlocked using a pass code received via cell phone and returned to designated spots in the city. This service is available in several German cities including Berlin. In 2011, the city retrofitted the radio-based Call-a-Bike system into a station-based, city-wide bike-share system.";2011;"Mobility";"Bike sharing systems";"City-wide Bike-Share Systems"
10;"Santander Cycles (Previously Barclays Cycle Hire)";"London";"GBR";"Following the success of Velib in Paris, the then Mayor of London, Ken Livingstone commissioned the city’s transport officials (Transport for London or TfL) to study Velib and similar schemes and prepare a proposal for a public bike-share scheme in London. The city hoped to provide commuters in the city with a transportation alternative, and de-congest the crowded public buses and the London Underground.";"In 2008, Livingstone unveiled plans for London’s bike-share scheme, and the system opened to the public in 2010, under the initiative of Mayor Boris Johnson, who implemented numerous programs including the public bike-share to promote bicycling in the city. Known back then as the Barclay’s Cycle Hire, the system comprised of 5,000 bicycles in 315 docking stations, spread across the City of London and certain parts of its boroughs. Since its inception, the bike-share system has expanded thrice, providing full coverage to many London Boroughs.";2010;"Mobility";"Bike sharing systems";"Metropolitan Bike-Share Systems"
11;"Velib";"Paris";"FRA";"Paris faced numerous urban problems due to transportation, and traffic congestion. A 2004 carbon footprint assessment study of the city revealed that of the 6.55 million tons of CO2E emitted, 51% were from the transport sector, 26% from freight, and 25% from passengers. Subsequently, the city adopted policies targeted towards reducing automobile usage, and traffic congestion . Since assuming office in 2001, Mayor Bertrand Delanoe proposed a series of initiatives to deter vehicle use and promote green transportation practices in the city.";"Velib was launched in 2007 as a part of Paris’s Espaces Civilisés (“Civilized Spaces”) project by the City of Paris in partnership with SOMUPI, a joint venture between JC Decaux, an outdoor advertising and street furniture multinational, and Publicis, a large advertising and communications corporation. The program was rolled out in two phases with 10,648 bicycles across 750 stations upon its launch and an additional 10,000 bicycles and 701 stations in December, with bike stations every 300m providing coverage to the entire city. The system underwent a third phase of expansion to provide coverage to the inner Parisian suburbs.";2007;"Mobility";"Bike sharing systems";"Metropolitan Bike-Share Systems"
12;"Velobike (Velobayk)";"Moscow";"RUS";"Since 1990, automobile usage in Moscow had grown exponentially, resulting in severe traffic and long commute times. In 2010, former Mayor Sergei Sobyanin made a pledge to Muscovites to regenerate and renew public spaces. Promoting bicycle infrastructure such as a public bike-share system, and dedicated bike-lanes was undertaken in the subsequent years in an attempt to make the city’s public spaces more accessible and provide Muscovites with a sustainable transportation alternative.";"In 2013, Bank of Moscow, in collaboration with the Moscow Department of Transportation launched Velobike with 50 bike-share stations in the central areas of the city. The system is operated by CityBike, a private operator. The system was subsequently expanded to provide coverage to the entire city. In Fall 2016, Velobike is piloting electric bikes called ‘Elektroveloprokata’ in 6 stations.";2013;"Mobility";"Bike sharing systems";"City-wide Bike-Share Systems"
13;"Villo";"Brussels";"BEL";"The first public bike-share in Brussels was opened in 2006 by JC Decaux. Named Cyclocity, the system had 250 bicycles across 23 stations. The scheme reported very low rate of rentals in its first year owning to a number of aspects such as small system size, heavy bicycles, and no free-of-charge rides.";"In an attempt to revamp the system and give bike-share a boost, the City of Brussels floated a tender in 2008 requesting bids for a new bike-share system. JC Decaux won the contract to operate the system and Villo was launched in 2009 across 11 municipalities. By 2010, the system had 2500 bikes in 180 stations. In the second phase of expansion, the system was expanded to eight other municipalities in the region.";2009;"Mobility";"Bike sharing systems";"Metropolitan Bike-Share Systems"
