"tmp_study_case_id";"bme_name";"description"
"4";"Sidewalks/Plazas";
"4";"Space between landscaped areas and adjacent to other infrastructure";
"4";"Dedicated Bicycle Lanes";
"4";"Bicycles";"4th Generation bicycle-sharing system comprising of 4,800 bikes across 400 stations. The system has eliminated kiosks for cost efficiency. Bicycles can be unlocked directly at the docks by tapping the membership card or entering a personal rental code in the bicycle’s unlocking mechanism."
"4";"Road Safety";"The city is in the process of building 36.8 km of bicycle lanes in the districts covered by the system. Additionally, the city plans to establish bicycle crossings at traffic intersections, 1,092 safety facilities such as road strips and direction signboards on the main streets, improve safety on side streets, and tackle illegal parking on bicycle lanes."
"4";"Integration with Public Transit";"Users can register their public transit access card (T-Money) to check out bicycles."
"4";"Bicycle Culture";"The city has created a video, which explains aspects such as registration, renting procedures, etc. to increase awareness about the bike-share system. The city also organized the Seoul Bike Festival 2016 to promote bicycling in the city. Members with a seasonal voucher can accumulate mileage on the bikes for transferring to public transportation within 30 minutes of the trip."
"4";"Transit Access";"The bicycle-sharing stations are located along major mobility corridors, and outside public transit stops."
"4";"Insurance";"After its first expansion, the system has extended its insurance for bike accidents to cover additional expenses. Previously, the insurance covered expenses for hospitalization, impacts of injuries, or death. The new insurance scheme covers all kinds of medical fees arising from a bicycle accident."
"4";"Public";"Publicly owned and operated."
"4";"Bicycle Ordinance";"Ordinance passed by the Seoul Metropolitan Government to enable the Mayor to establish, maintain, and manage facilities for the use of bicycles with participation and cooperation of citizens using bicycles, and develop and implement various policies for securing safety in the use of bicycles, improving conditions for use, and promoting the use of bicycles."
"4";"Bicycle Plan";"Master plan for national bicycle policies, guidelines on building and managing cycling facilities, and bike road plans developed by a consultative body composed of engineering design companies, central government officials, pertinent experts and representatives of local administrative bodies in Korea."
"4";"Membership/Subscription Fees";"As of 2016, the scheme offers a series of short and long-term passes called ‘voucher’. While non-members can only purchase a one-day voucher, members can purchase vouchers for one-day for $0.89, seven days for $2.7, 30 days for $4.5, 180 days for $13.5, and 365 days for $27. Each voucher-type entitles the user to a 60-minute ride free-of-charge, followed by a charge of $0.89 for every additional 30-minutes, with a maximum total rental time of 240 minutes."
"4";"User Charges";"As of 2016, the scheme offers a series of short and long-term passes called ‘voucher’. While non-members can only purchase a one-day voucher, members can purchase vouchers for one-day for $0.89, seven days for $2.7, 30 days for $4.5, 180 days for $13.5, and 365 days for $27. Each voucher-type entitles the user to a 60-minute ride free-of-charge, followed by a charge of $0.89 for every additional 30-minutes, with a maximum total rental time of 240 minutes."
"4";"City Budget";"The City paid for the capital costs and also subsidizes operations."
"5";"Sidewalks/Plazas";
"5";"Transit hubs/corridors";
"5";"Dedicated Bicycle Lanes";
"5";"Bicycles";"3rd Generation bike-share system comprising of 6,433 bikes across 119 stations. China has four to five large manufacturers who supply high quality bicycle sharing equipment at very reasonable costs. The equipment provider supports training, assembly, and initial operations and maintenance for new systems for the first year or so, after which they become completely independent."
"5";"Road Safety";"The city has built wide bike-lanes, separated physically from motorized traffic on several arterial roads. Bicycle parking facilities have also been created."
"5";"Integration with Public Transit";"Users can check out bikes using the Transit smart card."
"5";"Transit Access";"The system is completely integrated with the city’s BRT system."
"5";"Public";"The system is owned and operated by the Guangzhou Public Bicycle Operations Management Company Limited, a wholly-owned public subsidiary of the City’s Communications Department."
"5";"Membership/Subscription Fees";"Users can access the system using the transit smart card after registering with a deposit of $45. The first one hour of a trip is free of charge, beyond which usage fees are levied (as of 2013)."
"5";"User Charges";"Users can access the system using the transit smart card after registering with a deposit of $45. The first one hour of a trip is free of charge, beyond which usage fees are levied (as of 2013)."
"5";"City Budget";"The capital costs of implementing the system amounted to $4.2 million, and were entirely covered by the city government. The government also subsidizes operating costs."
"6";"Sidewalks/Plazas";
"6";"Dedicated Bicycle Lanes";"The city roads have physical separation between motorized and non-motorized transport."
"6";"Bicycles";"3rd Generation system comprising of 78,000 bicycles across 3111 stations as of 2014. China has four to five large manufacturers who supply high quality bicycle sharing equipment at very reasonable costs. The equipment provider supports training, assembly, and initial operations and maintenance for new systems for the first year or so, after which they become completely independent."
"6";"Road Safety";"As of 2011, 84% of primary, and secondary roads in the city had physical separation between motorized and non-motorized transport modes, providing a safe riding environment for bicycles. In terms of vandalism and theft, the system has one of the lowest rates in the world due to cameras installed at every docking station, and low-cost of bikes."
"6";"Integration with Public Transit";"The system is seamlessly integrated with the public transportation modes by enabling users to use transit cards to check out bikes."
"6";"Transit Access";"The bike-share system has been envisaged as an extension of the city’s public transit system, with stations integrated with bus stops, and water taxi stops."
"6";"Affordability";"The system is mostly free-of-charge. Users who have paid the bus fare with the transit card can check out bikes without additional charges for the first hour."
"6";"Development (Technology)";"The operator has collaborated with local universities for data analysis, and development of programs for smart scheduling, rent management, and identification of mechanical failure."
"6";"Repair and Upkeep";"The program has signed agreements with seven universities in the city to set up a Collegiate Volunteer Service Center for the bike-share system, where college students volunteer to carry out routine maintenance and repairs on bikes."
"6";"Advertising Agreement";"The operating company has signed an annual contract with an advertising company to manage advertisements on the bicycle shelters in Hangzhou after obtaining the authority to do so from the city government. The contract specifies what type of advertisements can be placed on the shelters."
