"study_case_name";"source_name"
"Ddareungi";"Expanded Operation of Seoul Bike “Ddareungi”"
"Ddareungi";"Seoul Bike-How to Use"
"Ddareungi";"Seoul Metropolitan GGovernment Ordinance to Promote Use of Bicycles"
"Ddareungi";"Bicycle Transport Policy in Korea"
"Ddareungi";"Introduction to Seoul Bike"
"Guangzhou Public Bike Share";"Bike Sharing: Guangzhou"
"Guangzhou Public Bike Share";"Guangzhou Public Bicycle"
"Guangzhou Public Bike Share";"Sustainable Transport Award cities: Guangzhou"
"Hangzhou Public Bicycle";"China’s Hangzhou Public Bicycle
Understanding Early Adoption and Behavioral
Response to Bikesharing"
"Hangzhou Public Bicycle";"The Biggest, Baddest Bike-Share in the World: Hangzhou China"
"Guangzhou Public Bike Share";"Urban Public Bicycle Sharing Program: Guangzhou, China"
"Hangzhou Public Bicycle";"City of Hangzhou: Homepage"
"You Bike";"Taipei to boost its public bicycle rental program"
"You Bike";"You Bike: Homepage"
"You Bike";"Two wheels make a comeback in Taiwan"
"You Bike";"You Bike Instructions"
"Bicing";"Bicing Barcelona, Clear Channel Public Bicycle System"
"Bicing";"Bicing: System Information"
"Bicing";"Vodafone sponsors Bicing"
"Bicing";"Bicing: Tariffs"
"Bicing";"Barcelona welcomes Electric Bicing"
"Bicing";"Cycle path network"
"Bicing";"The TH Interview: Bicing, Barcelona's Bike Sharing System (Part 3: Clear Channel)"
"Bicing";"Bicing System"
"Call-a-Bike";"Call a Bike Technik"
"Call-a-Bike";"Call a Bike"
"Call-a-Bike";"Discover Berlin by Sustainable Transport"
"Call-a-Bike";"DB Rent: Homepage"
"Santander Cycles (Previously Barclays Cycle Hire)";"Santander Cycles: What you pay"
"Santander Cycles (Previously Barclays Cycle Hire)";"Santander Cycles: Homepage"
"Santander Cycles (Previously Barclays Cycle Hire)";"Cycle Hire Contracts"
"Santander Cycles (Previously Barclays Cycle Hire)";"Santander Cycles"
"Velib";"Rent a Ride: A Report on Public Bicycling Scheme and its
Relevance in Indian Cities"
"Velib";"Paris: Bike sharing"
"Velib";"Bike Share Opportunities in New York City"
"Velib";"Parisian Vélib’ achieves over 200 million rentals"
"Velib";"P'tit Vélib', for children in Paris, our citizens"
"Velib";"Velib: Access the Service"
"Velib";"Velib: Homepage"
"Velobike (Velobayk)";"Moscow to launch e-bicycle rental in August"
"Velobike (Velobayk)";"Moscow, Russia"
"Velobike (Velobayk)";"VTB: Social Report 2015"
"Velobike (Velobayk)";"Velobike: Homepage"
"Velobike (Velobayk)";"Velobike: Electric Bikes"
"Velobike (Velobayk)";"City of Moscow: Department of Transportation"
"Villo";"Villo reaches milestone of 7 million"
"Villo";"Advertising on Villo! Fenders"
"Villo";"Regional bicycle routes"
"Villo";"Villo: Homepage"
"Villo";"Bike sharing in 10 European countries report. Module 2: Belgium"
"Bici Las Condes";"Cyclists demand that Las Condes subscribe to the same service of the other communes of Santiago"
"Bici Las Condes";"Bici Las Condes: Homepage"
"Bici Las Condes";"Bicycle as Public Transport"
"Bike Rio";"Bike Rio: Homepage"
"Bike Rio";"Serttel: Homepage"
"Bike Rio";"Samba Sustainable Transportation Application"
